voting_country,country,juror_0,juror_1,juror_2,juror_3,juror_4,jury_ranking,televote_ranking
moldova,The Netherlands,23,25,21,15,14,23,23
moldova,Ukraine,10,7,7,22,12,11,2
moldova,United Kingdom,25,16,24,17,20,24,25
netherlands,Albania,11,11,9,8,20,10,22
netherlands,Azerbaijan,8,6,18,13,11,9,16
netherlands,Belgium,6,3,6,3,6,5,15
netherlands,Bulgaria,15,12,16,19,17,17,14
netherlands,Cyprus,13,24,21,22,24,21,20
netherlands,Finland,19,14,13,10,15,14,7
netherlands,France,2,2,2,2,3,1,1
netherlands,Germany,23,25,24,25,23,25,18
netherlands,Greece,20,18,11,18,19,18,2
netherlands,Iceland,1,10,1,4,1,2,3
netherlands,Israel,9,4,3,5,7,7,17
netherlands,Italy,12,13,17,12,12,13,9
netherlands,Lithuania,18,15,14,11,13,15,8
netherlands,Malta,3,5,4,7,2,4,10
netherlands,Moldova,25,23,23,24,25,24,25
netherlands,Norway,16,17,20,16,10,16,13
netherlands,Portugal,5,16,12,17,14,12,5
netherlands,Russia,4,1,5,6,4,3,11
netherlands,San Marino,21,21,19,14,16,20,21
netherlands,Serbia,24,22,22,23,22,23,19
netherlands,Spain,14,19,15,21,18,19,24
netherlands,Sweden,17,8,10,15,9,11,12
netherlands,Switzerland,7,7,7,1,5,6,4
netherlands,Ukraine,10,9,8,9,8,8,6
netherlands,United Kingdom,22,20,25,20,21,22,23
north-macedonia,Albania,5,18,11,18,11,12,2
north-macedonia,Azerbaijan,16,15,10,11,22,18,8
north-macedonia,Belgium,12,6,25,16,14,14,23
north-macedonia,Bulgaria,15,8,20,22,9,15,11
north-macedonia,Cyprus,10,12,15,9,4,9,5
north-macedonia,Finland,20,17,21,17,18,22,9
north-macedonia,France,2,2,6,7,10,4,6
north-macedonia,Germany,24,21,19,21,26,25,24
north-macedonia,Greece,14,16,12,10,17,17,16
north-macedonia,Iceland,26,9,5,3,16,7,12
north-macedonia,Israel,4,7,1,8,5,3,22
north-macedonia,Italy,7,1,3,1,6,2,3
north-macedonia,Lithuania,25,22,26,23,20,26,17
north-macedonia,Malta,9,5,2,5,7,6,13
north-macedonia,Moldova,22,20,17,26,23,24,15
north-macedonia,Norway,18,23,8,19,19,19,18
north-macedonia,Portugal,11,26,7,15,8,13,21
north-macedonia,Russia,8,11,4,13,21,10,10
north-macedonia,San Marino,17,14,22,20,25,21,19
north-macedonia,Serbia,1,3,9,2,2,1,1
north-macedonia,Spain,23,19,14,24,13,20,25
north-macedonia,Sweden,19,13,16,14,1,8,14
north-macedonia,Switzerland,3,4,23,4,3,5,4
north-macedonia,The Netherlands,13,24,18,25,24,23,26
north-macedonia,Ukraine,6,25,24,6,15,11,7
north-macedonia,United Kingdom,21,10,13,12,12,16,20
norway,Albania,13,18,11,22,20,19,21
norway,Azerbaijan,8,11,6,11,16,11,10
norway,Belgium,21,19,18,18,22,22,22
norway,Bulgaria,23,4,19,7,1,5,16
norway,Cyprus,12,8,23,9,17,15,13
norway,Finland,16,16,4,15,9,13,5
norway,France,6,6,9,8,8,7,7
norway,Germany,24,22,24,24,25,25,14
norway,Greece,10,7,13,5,23,10,19
norway,Iceland,4,13,15,14,7,9,2
norway,Israel,2,5,3,3,13,3,18
norway,Italy,7,20,12,6,3,6,4
norway,Lithuania,25,14,10,16,15,18,1
norway,Malta,1,2,1,4,2,1,8
norway,Moldova,17,24,25,25,19,23,25
norway,Portugal,14,15,14,10,11,17,12
norway,Russia,9,12,8,23,18,16,11
norway,San Marino,15,17,21,12,21,20,17
norway,Serbia,19,25,22,20,24,24,15
norway,Spain,22,23,20,19,14,21,23
norway,Sweden,3,1,17,1,6,2,3
norway,Switzerland,18,3,5,2,5,4,9
norway,The Netherlands,11,10,16,17,4,12,20
norway,Ukraine,5,21,2,21,10,8,6
norway,United Kingdom,20,9,7,13,12,14,24
poland,Albania,13,18,11,22,20,19,21
poland,Azerbaijan,8,11,6,11,16,11,10
poland,Belgium,21,19,18,18,22,22,22
poland,Bulgaria,23,4,19,7,1,5,16
poland,Cyprus,12,8,23,9,17,15,13
poland,Finland,16,16,4,15,9,13,5
poland,France,6,6,9,8,8,7,7
poland,Germany,24,22,24,24,25,25,14
poland,Greece,10,7,13,5,23,10,19
poland,Iceland,4,13,15,14,7,9,2
poland,Israel,2,5,3,3,13,3,18
poland,Italy,7,20,12,6,3,6,4
poland,Lithuania,25,14,10,16,15,18,1
poland,Malta,1,2,1,4,2,1,8
poland,Moldova,17,24,25,25,19,23,25
poland,Portugal,14,15,14,10,11,17,12
poland,Russia,9,12,8,23,18,16,11
poland,San Marino,15,17,21,12,21,20,17
poland,Serbia,19,25,22,20,24,24,15
poland,Spain,22,23,20,19,14,21,23
poland,Sweden,3,1,17,1,6,2,3
poland,Switzerland,18,3,5,2,5,4,9
poland,The Netherlands,11,10,16,17,4,12,20
poland,Ukraine,5,21,2,21,10,8,6
poland,United Kingdom,20,9,7,13,12,14,24
portugal,Albania,18,17,17,21,13,19,24
portugal,Azerbaijan,14,14,11,11,14,15,21
portugal,Belgium,9,2,3,9,9,6,18
portugal,Bulgaria,1,1,10,2,5,1,13
portugal,Cyprus,16,18,12,16,23,16,19
portugal,Finland,6,13,20,22,3,11,6
portugal,France,7,5,8,12,1,5,1
portugal,Germany,22,12,25,23,15,20,17
portugal,Greece,17,22,22,15,22,22,9
portugal,Iceland,3,6,4,5,7,3,8
portugal,Israel,8,8,18,14,10,14,16
portugal,Italy,12,3,16,1,11,8,4
portugal,Lithuania,20,20,14,4,8,12,14
portugal,Malta,4,9,7,6,4,7,15
portugal,Moldova,19,24,23,13,16,21,3
portugal,Norway,23,21,24,18,24,25,11
portugal,Russia,5,11,2,3,6,2,10
portugal,San Marino,24,25,15,17,12,18,23
portugal,Serbia,11,10,9,7,17,13,20
portugal,Spain,15,19,19,25,25,23,12
portugal,Sweden,13,23,13,20,18,17,7
portugal,Switzerland,2,15,6,8,2,4,5
portugal,The Netherlands,10,4,5,19,20,10,22
portugal,Ukraine,21,7,1,10,19,9,2
portugal,United Kingdom,25,16,21,24,21,24,25
romania,Albania,9,26,18,10,17,16,20
romania,Azerbaijan,19,19,16,20,24,24,7
romania,Belgium,12,6,26,16,26,12,24
romania,Bulgaria,10,15,13,4,6,9,14
romania,Cyprus,16,20,8,13,19,17,16
romania,Finland,3,4,11,3,3,3,5
romania,France,6,7,5,6,9,7,3
romania,Germany,20,10,12,7,15,10,23
romania,Greece,15,18,15,21,16,23,21
romania,Iceland,26,9,14,26,13,18,12
romania,Israel,8,16,19,12,10,11,10
romania,Italy,4,12,3,18,18,8,2
romania,Lithuania,22,11,7,24,20,15,8
romania,Malta,1,1,2,1,1,1,9
romania,Moldova,5,5,10,5,7,5,1
romania,Norway,18,17,23,9,25,21,13
romania,Portugal,2,3,4,2,4,2,22
romania,Russia,23,22,9,19,12,19,18
romania,San Marino,25,24,20,25,21,26,17
romania,Serbia,13,25,22,23,11,22,11
romania,Spain,24,14,25,8,23,20,19
romania,Sweden,14,13,21,14,8,13,15
romania,Switzerland,11,8,1,22,2,4,6
romania,The Netherlands,7,21,17,15,14,14,26
romania,Ukraine,21,2,6,11,5,6,4
romania,United Kingdom,17,23,24,17,22,25,25
russia,Albania,16,15,23,6,14,12,18
russia,Azerbaijan,3,1,8,5,4,3,7
russia,Belgium,9,13,4,22,9,8,16
russia,Bulgaria,10,8,6,2,3,5,20
russia,Cyprus,25,6,14,8,7,9,1
russia,Finland,13,11,20,12,11,14,3
russia,France,18,14,18,16,17,20,5
russia,Germany,8,25,19,25,24,18,14
russia,Greece,7,3,3,10,2,4,15
russia,Iceland,22,19,11,18,13,16,10
russia,Israel,4,4,10,4,6,6,19
russia,Italy,1,5,2,7,5,2,2
russia,Lithuania,15,18,15,23,20,22,9
russia,Malta,5,7,7,3,10,7,13
russia,Moldova,2,2,1,1,1,1,8
russia,Norway,17,23,25,14,22,24,11
russia,Portugal,20,12,9,20,15,15,22
russia,San Marino,11,22,22,24,12,19,21
russia,Serbia,23,16,24,17,16,23,17
russia,Spain,19,21,21,19,19,25,23
russia,Sweden,6,9,12,21,18,11,12
russia,Switzerland,24,10,5,11,21,10,6
russia,The Netherlands,14,17,17,15,23,21,24
russia,Ukraine,12,24,13,13,8,13,4
russia,United Kingdom,21,20,16,9,25,17,25
san-marino,Albania,10,6,11,14,7,9,19
san-marino,Azerbaijan,20,15,18,19,21,23,15
san-marino,Belgium,6,20,22,12,8,13,23
san-marino,Bulgaria,5,11,9,6,13,8,9
san-marino,Cyprus,9,14,13,16,11,17,3
san-marino,Finland,14,3,24,10,16,10,7
san-marino,France,1,2,1,3,1,1,2
san-marino,Germany,24,21,25,9,19,19,21
san-marino,Greece,4,9,4,4,2,3,4
san-marino,Iceland,16,8,16,8,10,12,13
san-marino,Israel,13,23,15,17,17,20,18
san-marino,Italy,2,1,5,1,4,2,1
san-marino,Lithuania,3,10,8,15,6,5,12
san-marino,Malta,7,4,2,20,3,4,17
san-marino,Moldova,8,5,12,18,5,6,5
san-marino,Norway,19,22,20,21,25,24,14
san-marino,Portugal,23,19,6,7,24,15,20
san-marino,Russia,11,16,17,5,15,14,10
san-marino,Serbia,25,24,21,2,14,11,16
san-marino,Spain,22,18,23,25,23,25,22
san-marino,Sweden,17,12,7,11,18,16,11
san-marino,Switzerland,12,7,3,23,9,7,8
san-marino,The Netherlands,18,25,19,13,20,21,25
san-marino,Ukraine,15,13,10,24,12,18,6
san-marino,United Kingdom,21,17,14,22,22,22,24
serbia,Albania,23,21,17,20,23,23,11
serbia,Azerbaijan,13,19,12,21,20,20,7
serbia,Belgium,18,22,23,22,22,24,21
serbia,Bulgaria,1,7,9,19,8,5,12
serbia,Cyprus,20,18,22,25,15,22,9
serbia,Finland,2,4,14,1,4,2,4
serbia,France,8,1,1,5,3,1,2
serbia,Germany,17,25,25,24,24,25,18
serbia,Greece,4,14,15,7,6,8,8
serbia,Iceland,11,12,4,2,2,4,6
serbia,Israel,22,13,8,3,7,9,20
serbia,Italy,7,3,6,9,1,3,1
serbia,Lithuania,21,10,18,17,14,18,13
serbia,Malta,10,5,10,11,11,11,16
serbia,Moldova,5,20,24,16,18,16,22
serbia,Norway,14,6,21,13,9,15,17
serbia,Portugal,3,8,19,4,16,6,19
serbia,Russia,19,17,7,14,13,17,5
serbia,San Marino,9,9,5,12,19,13,15
serbia,Spain,12,24,20,10,25,19,23
serbia,Sweden,16,2,13,15,5,7,14
serbia,Switzerland,24,15,3,8,10,10,10
serbia,The Netherlands,15,16,16,18,21,21,25
serbia,Ukraine,25,11,2,23,12,12,3
serbia,United Kingdom,6,23,11,6,17,14,24
slovenia,Albania,10,12,9,15,5,11,12
slovenia,Azerbaijan,9,16,14,17,9,16,16
slovenia,Belgium,6,17,4,20,4,5,19
slovenia,Bulgaria,19,18,16,19,20,20,20
slovenia,Cyprus,13,9,15,7,12,15,15
slovenia,Finland,12,14,13,3,6,7,7
slovenia,France,7,8,5,8,16,9,5
slovenia,Germany,24,24,22,24,24,24,17
slovenia,Greece,18,10,10,11,2,8,3
slovenia,Iceland,1,6,3,1,8,2,8
slovenia,Israel,5,11,8,14,7,10,22
slovenia,Italy,3,7,2,2,1,1,2
slovenia,Lithuania,21,22,20,16,10,18,14
slovenia,Malta,11,3,12,5,17,6,13
slovenia,Moldova,23,26,24,22,19,23,26
slovenia,Norway,17,4,17,13,14,14,9
slovenia,Portugal,14,20,19,18,18,19,18
slovenia,Russia,2,1,1,9,13,3,10
slovenia,San Marino,26,19,26,21,22,22,21
slovenia,Serbia,16,5,11,10,15,13,1
slovenia,Spain,22,21,21,23,21,21,23
slovenia,Sweden,15,13,18,6,23,17,11
slovenia,Switzerland,4,2,6,4,3,4,6
slovenia,The Netherlands,25,23,23,25,25,26,24
slovenia,Ukraine,8,15,7,12,11,12,4
slovenia,United Kingdom,20,25,25,26,26,25,25
spain,Albania,16,17,13,19,12,17,25
spain,Azerbaijan,12,11,18,15,24,14,17
spain,Belgium,18,18,15,12,22,19,22
spain,Bulgaria,13,8,5,4,7,7,3
spain,Cyprus,7,6,10,2,6,5,13
spain,Finland,21,22,20,17,19,23,9
spain,France,1,1,1,3,1,1,1
spain,Germany,15,24,14,18,18,20,15
spain,Greece,8,19,6,9,8,10,21
spain,Iceland,6,5,4,11,3,4,6
spain,Israel,3,9,9,6,10,8,20
spain,Italy,17,12,21,14,11,13,2
spain,Lithuania,11,4,12,7,14,9,7
spain,Malta,5,3,2,8,4,3,8
spain,Moldova,20,21,16,21,17,21,19
spain,Norway,23,25,25,23,15,24,11
spain,Portugal,4,7,8,5,5,6,10
spain,Russia,19,14,24,22,23,22,14
spain,San Marino,9,15,22,20,20,18,16
spain,Serbia,14,20,17,24,9,15,18
spain,Sweden,25,16,11,10,13,12,12
spain,Switzerland,2,2,3,1,2,2,4
spain,The Netherlands,24,10,7,13,16,11,24
spain,Ukraine,22,23,23,25,21,25,5
spain,United Kingdom,10,13,19,16,25,16,23
sweden,Albania,20,22,22,23,21,25,15
sweden,Azerbaijan,6,21,14,5,12,13,18
sweden,Belgium,13,23,7,10,3,10,16
sweden,Bulgaria,8,7,17,7,10,12,19
sweden,Cyprus,11,9,16,6,14,16,14
sweden,Finland,12,8,19,18,5,14,1
sweden,France,2,4,10,9,8,5,5
sweden,Germany,21,13,20,12,24,20,21
sweden,Greece,24,20,23,17,19,23,17
sweden,Iceland,3,12,2,13,7,4,2
sweden,Israel,15,15,4,1,16,7,20
sweden,Italy,5,1,3,20,6,2,8
sweden,Lithuania,9,10,5,19,22,15,4
sweden,Malta,7,3,6,2,1,1,9
sweden,Moldova,18,18,21,24,25,24,13
sweden,Norway,19,6,11,3,9,9,3
sweden,Portugal,16,17,15,8,2,11,11
sweden,Russia,4,5,9,11,13,8,12
sweden,San Marino,22,11,18,22,11,19,23
sweden,Serbia,17,24,13,21,20,21,10
sweden,Spain,25,25,24,16,17,22,24
sweden,Switzerland,10,2,8,15,4,6,6
sweden,The Netherlands,14,19,12,14,15,18,22
sweden,Ukraine,1,14,1,25,23,3,7
sweden,United Kingdom,23,16,25,4,18,17,25
switzerland,Albania,10,14,6,10,13,11,4
switzerland,Azerbaijan,19,10,1,19,11,9,19
switzerland,Belgium,16,11,22,17,17,20,21
switzerland,Bulgaria,1,4,5,3,7,2,16
switzerland,Cyprus,5,9,18,14,21,13,20
switzerland,Finland,11,7,9,5,9,10,7
switzerland,France,3,2,8,1,1,1,5
switzerland,Germany,25,18,20,22,22,23,14
switzerland,Greece,6,15,11,15,18,14,13
switzerland,Iceland,15,6,21,4,5,6,6
switzerland,Israel,17,20,7,8,23,16,18
switzerland,Italy,14,1,14,2,2,3,2
switzerland,Lithuania,7,8,3,13,14,7,10
switzerland,Malta,8,5,4,7,3,5,12
switzerland,Moldova,24,24,17,25,24,24,23
switzerland,Norway,20,25,25,23,25,25,15
switzerland,Portugal,2,3,16,6,4,4,3
switzerland,Russia,21,17,2,11,6,8,11
switzerland,San Marino,13,12,12,16,20,18,24
switzerland,Serbia,12,22,10,24,15,19,1
switzerland,Spain,18,19,13,20,16,21,17
switzerland,Sweden,4,13,23,18,10,12,8
switzerland,The Netherlands,9,16,24,12,8,15,22
switzerland,Ukraine,23,21,15,9,12,17,9
switzerland,United Kingdom,22,23,19,21,19,22,25
ukraine,Albania,23,22,15,24,22,24,21
ukraine,Azerbaijan,9,15,11,8,3,8,8
ukraine,Belgium,3,10,3,5,20,5,10
ukraine,Bulgaria,14,9,16,10,16,14,17
ukraine,Cyprus,8,12,13,18,24,16,15
ukraine,Finland,19,14,9,14,14,17,3
ukraine,France,12,1,10,2,2,2,6
ukraine,Germany,18,21,19,21,13,20,14
ukraine,Greece,16,6,20,13,21,15,16
ukraine,Iceland,11,8,5,7,6,7,5
ukraine,Israel,4,5,2,17,4,4,13
ukraine,Italy,1,2,4,1,1,1,1
ukraine,Lithuania,13,11,8,9,7,11,2
ukraine,Malta,6,3,6,6,10,6,11
ukraine,Moldova,15,13,24,20,19,19,18
ukraine,Norway,2,19,14,19,11,10,12
ukraine,Portugal,7,17,7,12,5,9,19
ukraine,Russia,17,25,25,15,25,22,7
ukraine,San Marino,25,18,23,25,17,25,20
ukraine,Serbia,24,16,22,16,23,21,22
ukraine,Spain,21,20,18,4,15,13,25
ukraine,Sweden,10,7,12,11,8,12,9
ukraine,Switzerland,5,4,1,3,12,3,4
ukraine,The Netherlands,20,24,17,23,18,23,24
ukraine,United Kingdom,22,23,21,22,9,18,23
united-kingdom,Albania,21,15,16,18,19,22,21
united-kingdom,Azerbaijan,25,9,19,22,17,19,19
united-kingdom,Belgium,11,6,9,6,22,10,25
united-kingdom,Bulgaria,13,4,6,7,5,6,3
united-kingdom,Cyprus,15,23,17,14,13,21,13
united-kingdom,Finland,3,16,4,13,8,7,4
united-kingdom,France,4,1,3,2,2,1,6
united-kingdom,Germany,16,25,24,23,15,24,15
united-kingdom,Greece,18,12,22,12,23,20,16
united-kingdom,Iceland,5,14,2,1,1,2,2
united-kingdom,Israel,1,5,11,11,12,5,18
united-kingdom,Italy,14,24,14,15,9,17,8
united-kingdom,Lithuania,22,13,21,20,25,23,1
united-kingdom,Malta,12,18,15,10,11,16,5
united-kingdom,Moldova,23,2,23,17,21,13,20
united-kingdom,Norway,20,22,25,25,16,25,9
united-kingdom,Portugal,2,19,5,9,3,4,11
united-kingdom,Russia,17,7,13,16,18,15,14
united-kingdom,San Marino,10,10,10,4,10,8,17
united-kingdom,Serbia,19,11,18,8,4,12,23
united-kingdom,Spain,8,17,12,5,7,9,24
united-kingdom,Sweden,7,21,7,19,24,14,12
united-kingdom,Switzerland,9,3,1,3,14,3,10
united-kingdom,The Netherlands,6,20,8,21,6,11,22
united-kingdom,Ukraine,24,8,20,24,20,18,7
